         3865833 function calls (3865802 primitive calls) in 411.726 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       41   49.303    1.203  403.185    9.834 /Users/daksh/miniconda3/lib/python3.12/threading.py:323(wait)
    38400  208.773    0.005  348.610    0.009 /Users/daksh/Documents/EECS556/project/sparse-coding-super-resolution/python_src/featuresign.py:9(fss_yang)
    41/10    0.000    0.000  223.107   22.311 /Users/daksh/miniconda3/lib/python3.12/threading.py:637(wait)
   268800    0.431    0.000  136.297    0.001 /Users/daksh/miniconda3/lib/python3.12/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
   307200  135.872    0.000  135.872    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   115200    0.181    0.000  135.246    0.001 /Users/daksh/miniconda3/lib/python3.12/site-packages/numpy/core/fromnumeric.py:2421(all)
      163   12.285    0.075   80.166    0.492 {method 'acquire' of '_thread.lock' objects}
    38645    2.490    0.000    2.490    0.000 {built-in method builtins.abs}
    38400    0.047    0.000    0.974    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/numpy/core/fromnumeric.py:2692(max)
    38400    0.090    0.000    0.937    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/numpy/lib/arraysetops.py:766(isin)
    38400    0.608    0.000    0.802    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/numpy/lib/arraysetops.py:524(in1d)
   115200    0.096    0.000    0.424    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/numpy/core/fromnumeric.py:2177(sum)
    38400    0.054    0.000    0.413    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/numpy/core/fromnumeric.py:3385(mean)
    38400    0.178    0.000    0.378    0.000 /Users/daksh/Documents/EECS556/project/sparse-coding-super-resolution/python_src/ScSR.py:44(lin_scale)
    38400    0.133    0.000    0.359    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/numpy/core/_methods.py:101(_mean)
   115200    0.090    0.000    0.248    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/numpy/core/fromnumeric.py:1768(ravel)
   192000    0.158    0.000    0.158    0.000 {method 'ravel' of 'numpy.ndarray' objects}
   115200    0.132    0.000    0.132    0.000 {built-in method numpy.zeros}
    38400    0.112    0.000    0.123    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/numpy/core/_methods.py:67(_count_reduce_items)
    38400    0.022    0.000    0.115    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/numpy/core/fromnumeric.py:200(reshape)
    38400    0.025    0.000    0.094    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/numpy/core/fromnumeric.py:53(_wrapfunc)
    76800    0.092    0.000    0.092    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    38400    0.079    0.000    0.079    0.000 {method 'astype' of 'numpy.ndarray' objects}
      241    0.001    0.000    0.071    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:1157(__iter__)
      240    0.001    0.000    0.070    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:1195(update)
      241    0.001    0.000    0.063    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:1322(refresh)
      242    0.001    0.000    0.060    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:1461(display)
   268800    0.058    0.000    0.058    0.000 {method 'items' of 'dict' objects}
    38400    0.025    0.000    0.054    0.000 {built-in method builtins.all}
    76800    0.052    0.000    0.052    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/numpy/lib/arraysetops.py:630(<genexpr>)
   269284    0.041    0.000    0.041    0.000 {built-in method builtins.isinstance}
      242    0.001    0.000    0.038    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:1147(__str__)
   115200    0.036    0.000    0.036    0.000 {built-in method numpy.asarray}
      242    0.012    0.000    0.036    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:352(format_meter)
   115927    0.029    0.000    0.029    0.000 {built-in method builtins.len}
      726    0.000    0.000    0.026    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/utils.py:309(disp_len)
      726    0.001    0.000    0.025    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/utils.py:305(_text_width)
      726    0.007    0.000    0.024    0.000 {built-in method builtins.sum}
   115200    0.023    0.000    0.023    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/numpy/core/fromnumeric.py:2416(_all_dispatcher)
   153600    0.023    0.000    0.023    0.000 {built-in method numpy.asanyarray}
   115200    0.021    0.000    0.021    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/numpy/core/fromnumeric.py:2172(_sum_dispatcher)
    93778    0.012    0.000    0.018    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/utils.py:306(<genexpr>)
    76800    0.016    0.000    0.016    0.000 {built-in method builtins.issubclass}
      242    0.000    0.000    0.013    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:345(print_status)
    39095    0.013    0.000    0.013    0.000 {built-in method builtins.hasattr}
    38892    0.012    0.000    0.012    0.000 {built-in method builtins.getattr}
   115200    0.012    0.000    0.012    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/numpy/core/multiarray.py:741(dot)
      242    0.000    0.000    0.011    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/utils.py:317(disp_trim)
    38400    0.011    0.000    0.011    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
   115200    0.011    0.000    0.011    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/numpy/core/fromnumeric.py:1764(_ravel_dispatcher)
     1450    0.000    0.000    0.008    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/utils.py:125(inner)
      482    0.001    0.000    0.008    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:1438(moveto)
      726    0.007    0.000    0.007    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    93052    0.006    0.000    0.006    0.000 {built-in method unicodedata.east_asian_width}
     1441    0.005    0.000    0.005    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:230(__call__)
    38400    0.005    0.000    0.005    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/numpy/lib/arraysetops.py:761(_isin_dispatcher)
    38400    0.004    0.000    0.004    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/numpy/core/fromnumeric.py:3380(_mean_dispatcher)
    38400    0.004    0.000    0.004    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/numpy/core/fromnumeric.py:2687(_max_dispatcher)
    38400    0.004    0.000    0.004    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/numpy/lib/arraysetops.py:519(_in1d_dispatcher)
     1691    0.003    0.000    0.004    0.000 {method 'format' of 'str' objects}
    38400    0.003    0.000    0.003    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/numpy/core/fromnumeric.py:195(_reshape_dispatcher)
       82    0.000    0.000    0.003    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/_monitor.py:47(get_instances)
      242    0.000    0.000    0.002    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:339(fp_write)
      286    0.001    0.000    0.002    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:101(acquire)
      483    0.001    0.000    0.002    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:285(format_interval)
       82    0.000    0.000    0.002    0.000 /Users/daksh/miniconda3/lib/python3.12/_weakrefset.py:95(copy)
       82    0.000    0.000    0.002    0.000 /Users/daksh/miniconda3/lib/python3.12/_weakrefset.py:37(__init__)
      242    0.001    0.000    0.001    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:1443(format_dict)
       82    0.000    0.000    0.001    0.000 /Users/daksh/miniconda3/lib/python3.12/_weakrefset.py:120(update)
      241    0.001    0.000    0.001    0.000 {built-in method now}
      484    0.001    0.000    0.001    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/utils.py:204(_is_ascii)
      497    0.000    0.000    0.001    0.000 /Users/daksh/miniconda3/lib/python3.12/_weakrefset.py:63(__iter__)
      286    0.001    0.000    0.001    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
     1003    0.001    0.000    0.001    0.000 {built-in method time.time}
      286    0.001    0.000    0.001    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:105(release)
      726    0.001    0.000    0.001    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      242    0.001    0.000    0.001    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:185(__format__)
      726    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
      166    0.000    0.000    0.001    0.000 /Users/daksh/miniconda3/lib/python3.12/_weakrefset.py:27(__exit__)
       45    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:109(__enter__)
      286    0.000    0.000    0.000    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
      242    0.000    0.000    0.000    0.000 /Users/daksh/miniconda3/lib/python3.12/site-packages/tqdm/std.py:152(__init__)
